Array Element	Locus Identifier	Annotation
A_84_P753972	AT1G62863	unknown protein
A_84_P236443	AT4G36290	"ATP-binding region, ATPase-like domain-containing protein"
A_84_P177794	AT2G18876	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G57410.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO43234.1); contains domain PTHR21736:SF12 (PTHR21736:SF12); contains domain PTHR21736 (PTHR21736)
A_84_P580300	AT3G17350	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G50290.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70913.1); contains domain PROKAR_LIPOPROTEIN (PS51257)
A_84_P90329	AT5G46870	RNA recognition motif (RRM)-containing protein
A_84_P12105	AT5G27560	similar to unnamed protein product [Vitis vinifera] (GB:CAO17622.1)
A_84_P792356	AT2G40745	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G39975.1); contains InterPro domain C2 calcium/lipid-binding region, CaLB (InterPro:IPR008973)"
A_84_P856020	AT3G04445	"pseudogene, putative polyribonucleotide phophorylase, similar to polyribonucleotide phophorylase GB:AAC49669 from (Spinacia oleracea); blastp match of 58% identity and 7.3e-14 P-value to PIR|S64680|S64680 exoribonuclease 100 RNP - spinach"
A_84_P754558	AT1G31072	pseudogene of F-box family protein
A_84_P551607	AT1G61810	"BGLU45; hydrolase, hydrolyzing O-glycosyl compounds"
A_84_P20652	AT5G45050	TTR1 (WRKY domain family protein 16); transcription factor
A_84_P575754	AT2G40030	NRPD1b (nuclear RNA polymerase D 1b); DNA binding / DNA-directed RNA polymerase
A_84_P55630	AT1G02300	"cathepsin B-like cysteine protease, putative"
A_84_P768526	AT5G44495	Encodes a ECA1 gametogenesis related family protein
A_84_P176894	AT5G09670;AT5G09672	"[AT5G09670, loricrin-related];[AT5G09672, CPuORF21 (Conserved peptide upstream open reading frame 21)]"
A_84_P22673	AT2G40435	transcription regulator
A_84_P761876	AT3G17668	heat shock protein binding / unfolded protein binding
A_84_P11630	AT2G37890	mitochondrial substrate carrier family protein
A_84_P761632	AT3G26812	MIR169I; miRNA
A_84_P15586	AT3G47630	similar to unnamed protein product [Vitis vinifera] (GB:CAO41928.1); contains InterPro domain Mitochondrial matrix Mmp37 (InterPro:IPR015222)
A_84_P220988	AT3G10360	APUM4 (ARABIDOPSIS PUMILIO 4); RNA binding
A_84_P17545	AT3G63490	ribosomal protein L1 family protein
A_84_P11052	AT4G35570	HMGB5 (HIGH MOBILITY GROUP B 5); transcription factor
A_84_P858070	AT5G27610	DNA binding / transcription factor
A_84_P175691	AT3G60040	F-box family protein
A_84_P510798	AT1G48540	leucine-rich repeat family protein
A_84_P828561	AT5G09620	octicosapeptide/Phox/Bem1p (PB1) domain-containing protein
A_84_P22265	AT3G61230	LIM domain-containing protein
A_84_P10189	AT1G49700	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07675.1)
A_84_P206628	AT5G27830	similar to hypothetical protein [Vitis vinifera] (GB:CAN74239.1); contains InterPro domain Folate receptor (InterPro:IPR004269)
A_84_P15053	AT5G64960	CDKC;2 (CYCLIN-DEPENDENT KINASE C;2); kinase
A_84_P12177	AT5G54820	F-box family protein
A_84_P210768	AT5G19230	Identical to Uncharacterized GPI-anchored protein At5g19230 precursor [Arabidopsis Thaliana] (GB:Q8GUL8); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G19240.1); similar to unknown [Populus trichocarpa] (GB:ABK94712.1)
A_84_P861179	AT4G30270	"MERI5B (MERISTEM-5); hydrolase, acting on glycosyl bonds / xyloglucan:xyloglucosyl transferase"
A_84_P12185	AT1G47800	F-box family protein
A_84_P803485	AT2G38590	F-box family protein
A_84_P565995	AT3G03776	hydroxyproline-rich glycoprotein family protein
A_84_P751436	AT1G64730	"pseudogene, putative NADH dehydrogenase subunit F, blastp match of 68% identity and 5.3e-08 P-value to GP|3366920|gb|AAC68594.1||AF064655 NADH dehydrogenase subunit F {Stanleya pinnata}"
A_84_P132585	AT2G37200	"integral membrane protein, putative"
A_84_P804770	AT4G15545	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G16520.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO71054.1); contains InterPro domain Paired amphipathic helix; (InterPro:IPR003822)
A_84_P288814	AT3G52860	similar to unnamed protein product [Vitis vinifera] (GB:CAO40034.1)
A_84_P800215	AT1G48150	MADS-box protein (AGL74 )
A_84_P513467	AT1G53935	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G23180.1)
A_84_P538761	AT4G19240	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G43280.1)
A_84_P584723	AT3G01050	MUB1 (MEMBRANE-ANCHORED UBIQUITIN-FOLD PROTEIN 1 PRECURSOR)
A_84_P534200	AT3G42970	unknown protein
A_84_P816382	AT4G37040	MAP1D (METHIONINE AMINOPEPTIDASE 1D); metalloexopeptidase
A_84_P123672	AT5G41370	XPB1 (ARABIDOPSIS HOMOLOG OF XERODERMA PIGMENTOSUM COMPLEMENTATION GROUP B 1); ATP-dependent helicase
A_84_P22600	AT5G60120	TOE2 (TARGET OF EAT1 2); DNA binding / transcription factor
A_84_P799545	AT2G30540	glutaredoxin family protein
A_84_P825718	AT1G55350	DEK1 (DEFECTIVE KERNEL 1); calcium-dependent cysteine-type endopeptidase/ cysteine-type endopeptidase
A_84_P192544	AT1G25270	"similar to nodulin MtN21 family protein [Arabidopsis thaliana] (TAIR:AT1G68170.1); similar to Protein of unknown function DUF6, transmembrane [Medicago truncatula] (GB:ABD28596.1); contains InterPro domain Protein of unknown function DUF6, transmembrane; (InterPro:IPR000620)"
A_84_P786976	AT2G37750	unknown protein
A_84_P24063	AT3G26400	EIF4B1 (eukaryotic translation initiation factor 4B1)
A_84_P16343	AT2G44350	ATCS (CITRATE SYNTHASE 4); citrate (SI)-synthase
A_84_P180524	AT4G38510;AT4G38500	"[AT4G38510, (VACUOLAR ATP SYNTHASE SUBUNIT B2); hydrogen ion transporting ATP synthase, rotational mechanism];[AT4G38500, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G28240.1); similar to Os06g0724300 [Oryza sativa (japonica cultivar-group)] (GB:NP_001058611.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO47423.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN61976.1); contains InterPro domain Protein of unknown function DUF616 (InterPro:IPR006852)]"
A_84_P819984	AT1G79270	ECT8 (evolutionarily conserved C-terminal region 8)
A_84_P16531	AT3G47460	ATSMC2 (Arabidopsis thaliana structural maintenance of chromosome 2)
A_84_P291684	AT3G54380	SAC3/GANP family protein
A_84_P863296	AT5G62530;AT5G62520	"[AT5G62530, ALDH12A1 (Aldehyde dehydrogenase 12A1); 1-pyrroline-5-carboxylate dehydrogenase/ 3-chloroallyl aldehyde dehydrogenase];[AT5G62520, SRO5 (SIMILAR TO RCD ONE 5); NAD+ ADP-ribosyltransferase]"
A_84_P540757	AT5G55490	ATGEX1/GEX1 (GAMETE EXPRESSED PROTEIN1)
A_84_P22557	AT5G48330	regulator of chromosome condensation (RCC1) family protein
A_84_P146119	AT1G78930	mitochondrial transcription termination factor-related / mTERF-related
A_84_P835049	AT5G43240	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G01120.1); similar to hypothetical protein OsI_016617 [Oryza sativa (indica cultivar-group)] (GB:EAY95384.1); contains InterPro domain Protein of unknown function DUF674 (InterPro:IPR007750)
A_84_P599827	AT2G36580	"pyruvate kinase, putative"
A_84_P598916	AT2G30300	nodulin-related
A_84_P570619	AT3G63240	endonuclease/exonuclease/phosphatase family protein
A_84_P823402	AT4G24810	ABC1 family protein
A_84_P185144	AT2G16810	F-box family protein (FBX8)
A_84_P822038	AT1G64890	integral membrane transporter family protein
A_84_P808775	AT3G22440	hydroxyproline-rich glycoprotein family protein
A_84_P568860	AT4G13240	ATROPGEF9/ROPGEF9 (KINASE PARTNER PROTEIN-LIKE); Rho guanyl-nucleotide exchange factor/
A_84_P19969	AT1G67590	remorin family protein
A_84_P15829	AT5G06500	AGL96; DNA binding / transcription factor
A_84_P585114	AT5G32410	transposable element gene
A_84_P833826	AT1G27340	F-box family protein
A_84_P10489	AT1G72960	root hair defective 3 GTP-binding (RHD3) family protein
A_84_P19930	AT1G65820	"microsomal glutathione s-transferase, putative"
A_84_P770284	ATMG00140	hypothetical protein
A_84_P850621	AT5G08130	BIM1 (BES1-interacting Myc-like protein 1); DNA binding / transcription factor
A_84_P843330	AT5G08770	similar to unnamed protein product [Vitis vinifera] (GB:CAO71661.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN68197.1)
A_84_P15068	AT5G15830	ATBZIP3 (ARABIDOPSIS THALIANA BASIC LEUCINE-ZIPPER 3); DNA binding / transcription factor
A_84_P522022	AT5G11370	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT5G56410.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63564.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain Leucine-rich repeat 2 (InterPro:IPR013101); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
A_84_P508130	AT1G45403	membrane protein
A_84_P799358	AT3G04640	glycine-rich protein
A_84_P763399	AT4G06597	"pseudogene, hypothetical protein"
A_84_P824693	AT5G58787	zinc finger (C3HC4-type RING finger) family protein
A_84_P707036	AT5G24318	"catalytic/ cation binding / hydrolase, hydrolyzing O-glycosyl compounds"
A_84_P830071	AT5G35400	tRNA pseudouridine synthase family protein
A_84_P111502	AT4G22090	pectate lyase family protein
A_84_P209138	AT1G78810	similar to hypothetical protein [Vitis vinifera] (GB:CAN60296.1)
A_84_P585488	AT2G03810	18S pre-ribosomal assembly protein gar2-related
A_84_P834607	AT3G63510	FAD binding / catalytic/ tRNA dihydrouridine synthase
A_84_P24141	AT3G57140	SDP1-LIKE (SDP1-LIKE); GTP binding
A_84_P11861	AT3G60450	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G60440.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70569.1); contains InterPro domain Phosphoglycerate mutase (InterPro:IPR013078); contains InterPro domain PRIB5 (InterPro:IPR012398)
A_84_P19129	AT2G30220	GDSL-motif lipase/hydrolase family protein
A_84_P760980	AT3G27886	transposable element gene
A_84_P759188	AT3G60150	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G44525.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO70445.1); contains InterPro domain Protein of unknown function DUF498 (InterPro:IPR007523)
A_84_P10118	AT4G39160	DNA binding / transcription factor
A_84_P753591	AT1G26218;AT1G26220	"[AT1G26218, other RNA];[AT1G26220, GCN5-related N-acetyltransferase (GNAT) family protein]"
A_84_P10359	AT5G19800	hydroxyproline-rich glycoprotein family protein
A_84_P790853	AT5G51730	nucleotide binding
A_84_P765563	AT4G13564	MIR841a; miRNA
A_84_P294704	AT1G54010	"myrosinase-associated protein, putative"
A_84_P13818	AT4G19820	glycosyl hydrolase family 18 protein
A_84_P16216	AT1G79870	oxidoreductase family protein
A_84_P23822	AT1G80070	SUS2 (ABNORMAL SUSPENSOR 2)
A_84_P307680	AT5G48990	kelch repeat-containing F-box family protein
A_84_P177674	AT5G25210	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G32030.1)
A_84_P23186	AT3G55110	ABC transporter family protein
A_84_P14261	AT1G16240	SYP51 (SYNTAXIN OF PLANTS 51)
A_84_P830318	AT3G61670	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G46380.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO65830.1)
A_84_P513000	AT4G10320	"isoleucyl-tRNA synthetase, putative / isoleucine--tRNA ligase, putative"
A_84_P846330	AT1G05840	aspartyl protease family protein
A_84_P767198	AT5G32487	transposable element gene
A_84_P552051	AT4G26290;AT4G26288	"[AT4G26290, unknown protein];[AT4G26288, similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G56550.1)]"
A_84_P853653	AT1G13390	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G68490.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42143.1)
A_84_P711699	AT5G56452	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT3G50710.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74740.1); contains InterPro domain FBD (InterPro:IPR013596); contains InterPro domain FBD-like (InterPro:IPR006566)
A_84_P808801	AT2G31660	SAD2 (SUPER SENSITIVE TO ABA AND DROUGHT2); protein transporter
A_84_P256780	AT1G34065	SAMC2 (S-adenosylmethionine carrier 2); binding
A_84_P765498	AT4G08073	unknown protein
A_84_P125661	AT4G14910	"imidazoleglycerol-phosphate dehydratase, putative"
A_84_P273110	AT3G14850	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G29050.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39470.1); contains InterPro domain Protein of unknown function DUF231, plant (InterPro:IPR004253)"
A_84_P755101	AT2G13010	transposable element gene
A_84_P21399	AT1G27040	"nitrate transporter, putative"
A_84_P597558	AT5G21080	binding
A_84_P551464	AT1G33280	ANAC015 (Arabidopsis NAC domain containing protein 15); transcription factor
A_84_P297594	AT2G35260	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G17840.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN74782.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO63413.1)
A_84_P792283	AT4G35090	CAT2 (CATALASE 2); catalase
A_84_P804226	AT4G34265	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G15000.3); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G15000.2); similar to unnamed protein product [Vitis vinifera] (GB:CAO70855.1)
A_84_P13197	AT5G09470	mitochondrial substrate carrier family protein
A_84_P81739	AT5G46900	protease inhibitor/seed storage/lipid transfer protein (LTP) family protein
A_84_P529840	AT4G04480	similar to F-box family protein [Arabidopsis thaliana] (TAIR:AT4G22030.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN65749.1)
A_84_P704878	AT3G07180	GPI transamidase component PIG-S-related
A_84_P856315	AT5G60400	unknown protein
A_84_P862752	AT2G34420	LHB1B2 (Photosystem II light harvesting complex gene 1.5); chlorophyll binding
A_84_P22357	AT4G26110	NAP1;1 (NUCLEOSOME ASSEMBLY PROTEIN1;1); DNA binding
A_84_P242895	AT1G66160	U-box domain-containing protein
A_84_P854789	AT5G13020	emsy N terminus domain-containing protein / ENT domain-containing protein
A_84_P23805	AT1G19710	glycosyl transferase family 1 protein
A_84_P233389	AT3G44605	transposable element gene
A_84_P16859	AT5G42470	similar to unnamed protein product [Vitis vinifera] (GB:CAO60981.1); contains InterPro domain Brain and reproductive organ-expressed (InterPro:IPR010358)
A_84_P153608	AT2G03890	phosphatidylinositol 3- and 4-kinase family protein
A_84_P548571	AT4G39060	F-box family protein
A_84_P715743	AT1G78040	pollen Ole e 1 allergen and extensin family protein
A_84_P808267	AT2G33800	ribosomal protein S5 family protein
A_84_P19340	AT3G29180	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G39430.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO15029.1); contains InterPro domain Protein of unknown function DUF1336 (InterPro:IPR009769)
A_84_P787353	AT5G17350	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G03280.1); similar to unknown [Populus trichocarpa] (GB:ABK95625.1)
A_84_P538753	AT4G16950	RPP5 (RECOGNITION OF PERONOSPORA PARASITICA 5)
A_84_P22410	AT4G38930	ubiquitin fusion degradation UFD1 family protein
A_84_P18355	AT3G21755;AT3G21760	"[AT3G21755, other RNA];[AT3G21760, UDP-glucoronosyl/UDP-glucosyl transferase family protein]"
A_84_P767853	AT5G64560	magnesium transporter CorA-like family protein (MRS2-2)
A_84_P12803	AT3G59730	"receptor lectin kinase, putative"
A_84_P19904	AT1G10370	ATGSTU17/ERD9/GST30/GST30B (EARLY-RESPONSIVE TO DEHYDRATION 9); glutathione transferase
A_84_P15962	AT5G56110	ATMYB103/ATMYB80/MS188/MYB103 (MYB DOMAIN PROTEIN 80); DNA binding / transcription factor
A_84_P795175	AT4G03290	"calcium-binding protein, putative"
A_84_P822309	AT3G13350	high mobility group (HMG1/2) family protein / ARID/BRIGHT DNA-binding domain-containing protein
A_84_P848738	AT3G51950	zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein
A_84_P19600	AT5G02310	PRT6 (PROTEOLYSIS 6); ubiquitin-protein ligase
A_84_P849473	AT1G51700	ADOF1 (Arabidopsis dof zinc finger protein 1); DNA binding / transcription factor
A_84_P10206	AT5G25160	ZFP3 (ZINC FINGER PROTEIN 3); nucleic acid binding / transcription factor/ zinc ion binding
A_84_P18783	AT5G51120	ATPABN1/PABN1 (polyadenylate-binding protein 1); RNA binding / poly(A) binding / protein binding
A_84_P20308	AT3G46100	ATHRS1 (HISTIDYL-TRNA SYNTHETASE 1); histidine-tRNA ligase
A_84_P820484	AT5G10920	"argininosuccinate lyase, putative / arginosuccinase, putative"
A_84_P232469	AT1G26160	metal-dependent phosphohydrolase HD domain-containing protein
A_84_P16658	AT4G20760	short-chain dehydrogenase/reductase (SDR) family protein
A_84_P509187	AT2G28725	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G07795.1); similar to hypothetical protein [Vitis vinifera] (GB:CAN76818.1)
A_84_P18334	AT3G06490	MYB108 (MYB DOMAIN PROTEIN 108); DNA binding / transcription factor
A_84_P12303	AT1G03810	DNA-binding protein-related
A_84_P849556	AT1G30825	ARPC2A/DIS2 (DISTORTED TRICHOMES 2); structural molecule
A_84_P83279	AT4G01210	glycosyltransferase family protein 1
A_84_P528295	AT5G39205	transposable element gene
A_84_P178874	AT1G67080	ABA4 (ABSCISIC ACID (ABA)-DEFICIENT 4); intramolecular oxidoreductase
A_84_P22872	AT1G78940	protein kinase family protein
A_84_P22427	AT4G17520	"nuclear RNA-binding protein, putative"
A_84_P13909	AT1G19320	pathogenesis-related thaumatin family protein
A_84_P559964	AT4G01260	transcription regulator
A_84_P261660	AT3G14830	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G53450.2); similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G53450.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO39439.1)
A_84_P12808	AT3G61040	"CYP76C7 (cytochrome P450, family 76, subfamily C, polypeptide 7); oxygen binding"
A_84_P521762	AT3G22670	pentatricopeptide (PPR) repeat-containing protein
A_84_P15972	AT5G58840	subtilase family protein
A_84_P788690	AT1G22980	similar to protein binding [Arabidopsis thaliana] (TAIR:AT1G22970.1); similar to unnamed protein product [Vitis vinifera] (GB:CAO42221.1)
A_84_P841390	AT3G30805	"pseudogene, similar to lysyl-tRNA synthetase,  blastp match of 78% identity and 1.0e-19 P-value to GP|10798642|emb|CAC12821.1||AJ299251 lysyl-tRNA synthetase {Nicotiana tabacum}"
A_84_P23329	AT4G31840	plastocyanin-like domain-containing protein
A_84_P754101	AT1G04684	unknown protein
A_84_P764815	AT4G09647	Encodes a defensin-like (DEFL) family protein.
A_84_P532663	AT5G11830	similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G26090.1); contains InterPro domain Plant self-incompatibility S1 (InterPro:IPR010264)
A_84_P754544	AT1G63206	"similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G63190.1); contains InterPro domain Cystatin-related, plant (InterPro:IPR006525)"
